"Source:","C:\Users\kulet\OneDrive\martSwitch\SmartSwitch\SmartSwitch.sch"
"Date:","17.01.2022 21:44:38"
"Tool:","Eeschema (5.0.1)-4"
"Component Count:","54"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"C2","100nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~","",""
"C3","10uF/10V","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~","",""
"C4","100nF","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"C5","100nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~","",""
"C6","100uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~","",""
"D1","LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"D2","LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"D3","LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"D4","LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"D5","LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"D6","1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","",""
"D7","1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","",""
"F1","500mA","Fuse:Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open","~","",""
"F2","Thermal Fuse","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Vertical","~","",""
"J1","SWITCH","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","~","",""
"J2","Conn_02x03_Counter_Clockwise","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical_SMD","~","",""
"J3","Screw_Terminal_01x03","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal","~","",""
"J4","Screw_Terminal_01x03","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal","~","",""
"J6","Screw_Terminal_01x03","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal","~","",""
"J7","INPUT","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","~","",""
"K1","G5LE-1","Relay_THT:Relay_SPDT_Omron-G5LE-1","http://www.omron.com/ecb/products/pdf/en-g5le.pdf","",""
"K2","G5LE-1","Relay_THT:Relay_SPDT_Omron-G5LE-1","http://www.omron.com/ecb/products/pdf/en-g5le.pdf","",""
"PS1","HLK-PM01","Our:HLK-PM01","http://www.hlktech.net/product_detail.php?ProId=54","",""
"Q1","MMBT5550L","Package_TO_SOT_SMD:SOT-23","www.onsemi.com/pub/Collateral/MMBT5550LT1-D.PDF","",""
"Q2","MMBT5550L","Package_TO_SOT_SMD:SOT-23","www.onsemi.com/pub/Collateral/MMBT5550LT1-D.PDF","",""
"Q3","MMBT5550L","Package_TO_SOT_SMD:SOT-23","www.onsemi.com/pub/Collateral/MMBT5550LT1-D.PDF","",""
"Q4","MMBT5550L","Package_TO_SOT_SMD:SOT-23","www.onsemi.com/pub/Collateral/MMBT5550LT1-D.PDF","",""
"R1","1k","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"R2","1k","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"R3","1k","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"R4","1k","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"R5","1k","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"R6","1k","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"R7","10k","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"R8","4k7","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"R9","300","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"R10","10k","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"R11","10k","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"R12","10k","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"R13","10k","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"R14","10k","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"R15","300","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"R16","300","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"R17","1k","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"R18","1k","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"R19","10k","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"R20","10k","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"R21","1k","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"R22","1k","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"SW1","RESET","Our:SW_LISPOL","","",""
"U1","DS1822","Package_TO_SOT_THT:TO-92_Inline","http://datasheets.maximintegrated.com/en/ds/DS1822.pdf","",""
"U2","ESP-12F","RF_Module:ESP-12E","http://wiki.ai-thinker.com/_media/esp8266/esp8266_series_modules_user_manual_v1.1.pdf","",""
"U3","MCP1825S","Package_TO_SOT_SMD:SOT-223","http://ww1.microchip.com/downloads/en/devicedoc/22056b.pdf","",""
"Var1","250VAC","Varistor:RV_Disc_D7mm_W3.4mm_P5mm","~","",""
